,winner_name,w_ace,w_1stIn,w_df,w_1stWon,w_bpFaced,winner_rank,winner_id,year
0,Anastasia Myskina,3.0,46.5,4.5,32.5,10.0,3.0,2,2004
1,Amelie Mauresmo,5.2,38.0,3.6,29.0,5.0,4.0,7,2004
2,Lindsay Davenport,4.4,24.8,1.4,20.2,1.6,5.0,5,2004
3,Jennifer Capriati,3.0,34.0,1.75,24.75,2.25,7.0,4,2004
4,Venus Williams,7.0,29.0,1.0,26.0,3.0,8.0,1,2004
5,Svetlana Kuznetsova,,,,,,9.0,4,2004
6,Serena Williams,7.5,37.666666666666664,1.5,27.833333333333332,6.0,10.0,6,2004
7,Paola Suarez,1.0,47.5,2.5,32.0,5.5,11.0,4,2004
8,Ai Sugiyama,0.5,53.0,3.5,34.0,9.0,12.0,5,2004
9,Nadia Petrova,12.0,48.0,6.0,35.0,5.0,13.0,3,2004
10,Vera Zvonareva,5.0,32.0,2.0,24.0,3.0,14.0,5,2004
11,Maria Sharapova,5.142857142857143,39.42857142857143,4.0,29.428571428571427,4.857142857142857,15.0,12,2004
12,Patty Schnyder,1.0,34.0,2.0,25.0,2.0,16.0,4,2004
13,Francesca Schiavone,,,,,,17.0,2,2004
14,Silvia Farina Elia,2.0,74.0,2.0,34.0,15.0,19.0,3,2004
15,Elena Bovina,,,,,,21.0,2,2004
16,Magdalena Maleeva,6.0,39.0,3.0,34.0,2.0,21.0,6,2004
17,Conchita Martinez,,,,,,24.0,1,2004
18,Mary Pierce,,,,,,26.0,5,2004
19,Alicia Molik,,,,,,26.0,4,2004
20,Nathalie Dechy,,,,,,27.0,3,2004
21,Lisa Raymond,7.0,40.0,1.0,33.0,6.0,27.0,1,2004
22,Karolina Sprem,4.666666666666667,49.666666666666664,5.0,34.333333333333336,10.333333333333334,30.0,5,2004
23,Maria Vento Kabchi,,,,,,34.0,2,2004
24,Meghann Shaughnessy,,,,,,35.0,2,2004
25,Amy Frazier,1.0,70.0,11.0,37.0,18.0,36.0,3,2004
26,Emilie Loit,,,,,,36.0,4,2004
27,Daniela Hantuchova,1.0,32.0,2.0,23.0,3.0,38.0,7,2004
28,Shinobu Asagoe,,,,,,38.0,2,2004
29,Elena Likhovtseva,,,,,,39.0,2,2004
30,Claudine Schaul,,,,,,43.0,2,2004
31,Lina Krasnoroutskaya,,,,,,44.0,3,2004
32,Saori Obata,,,,,,44.0,4,2004
33,Kristina Brandi,,,,,,47.0,1,2004
34,Tina Pisnik,,,,,,47.0,2,2004
35,Maria Sanchez Lorenzo,,,,,,48.0,5,2004
36,Anca Barna,,,,,,48.0,2,2004
37,Aniko Kapros,,,,,,49.0,1,2004
38,Jelena Jankovic,,,,,,52.0,4,2004
39,Magui Serna,5.0,40.0,2.0,28.0,8.0,53.0,2,2004
40,Tatiana Golovin,3.0,58.0,5.0,41.0,6.0,54.0,8,2004
41,Arantxa Parra Santonja,4.0,14.0,1.0,12.0,2.0,55.0,2,2004
42,Akiko Morigami,,,,,,56.0,3,2004
43,Anabel Medina Garrigues,,,,,,58.0,3,2004
44,Tamarine Tanasugarn,,,,,,58.0,6,2004
45,Gisela Dulko,5.5,35.0,5.5,27.5,2.5,59.0,2,2004
46,Klara Koukalova,,,,,,60.0,5,2004
47,Jill Craybas,,,,,,64.0,2,2004
48,Virginia Ruano Pascual,4.0,49.0,4.0,34.0,2.0,67.0,3,2004
49,Katarina Srebotnik,,,,,,68.0,1,2004
50,Denisa Chladkova,,,,,,69.0,3,2004
51,Maria Elena Camerin,,,,,,73.0,1,2004
52,Flavia Pennetta,,,,,,78.0,2,2004
53,Milagros Sequera,,,,,,79.0,3,2004
54,Cara Black,,,,,,82.0,1,2004
55,Marion Bartoli,,,,,,84.0,2,2004
56,Barbara Schett,,,,,,85.0,2,2004
57,Ludmila Cervanova,2.0,51.5,0.5,33.5,8.5,87.0,2,2004
58,Maria Kirilenko,,,,,,88.0,1,2004
59,Shenay Perry,,,,,,88.0,2,2004
60,Tatiana Perebiynis,,,,,,90.0,2,2004
61,Henrieta Nagyova,,,,,,91.0,1,2004
62,Els Callens,,,,,,97.0,1,2004
63,Samantha Stosur,,,,,,97.0,2,2004
64,Lindsay Davenport,4.333333333333333,39.666666666666664,3.0,30.666666666666668,4.333333333333333,1.0,6,2005
65,Maria Sharapova,4.444444444444445,37.666666666666664,2.0,28.11111111111111,3.2222222222222223,2.0,10,2005
66,Amelie Mauresmo,4.0,26.8,3.4,21.4,1.6,3.0,5,2005
67,Serena Williams,9.0,55.5,2.5,41.5,6.5,4.0,2,2005
68,Svetlana Kuznetsova,7.75,44.25,4.75,31.75,7.75,5.0,6,2005
69,Elena Dementieva,0.5,48.5,10.5,28.5,10.0,5.0,3,2005
70,Nadia Petrova,3.0,53.5,3.0,36.75,6.25,8.0,5,2005
71,Anastasia Myskina,2.0,60.333333333333336,4.0,35.333333333333336,12.333333333333334,10.0,5,2005
72,Vera Zvonareva,2.0,42.0,1.0,31.0,6.0,12.0,2,2005
73,Kim Clijsters,3.5,30.0,2.5,25.0,1.5,13.0,8,2005
74,Mary Pierce,3.0,51.25,1.25,39.5,2.75,14.0,4,2005
75,Venus Williams,3.142857142857143,51.857142857142854,3.142857142857143,36.57142857142857,5.857142857142857,16.0,7,2005
76,Elena Likhovtseva,5.0,59.666666666666664,1.6666666666666667,38.333333333333336,9.666666666666666,17.0,3,2005
77,Nathalie Dechy,3.0,39.0,1.5,25.5,4.0,18.0,5,2005
78,Tatiana Golovin,1.6666666666666667,46.333333333333336,5.0,31.666666666666668,7.666666666666667,19.0,3,2005
79,Jelena Jankovic,2.8,34.0,2.0,26.2,4.0,19.0,6,2005
80,Ana Ivanovic,4.0,34.0,2.0,27.0,10.0,21.0,2,2005
81,Silvia Farina Elia,,,,,,22.0,2,2005
82,Shinobu Asagoe,2.0,58.0,3.0,40.0,2.0,25.0,1,2005
83,Ai Sugiyama,3.0,63.0,2.0,41.0,7.0,26.0,1,2005
84,Marion Bartoli,1.0,32.0,0.0,23.0,4.0,27.0,3,2005
85,Daniela Hantuchova,3.5,42.0,4.0,30.5,5.5,28.0,2,2005
86,Gisela Dulko,1.0,36.0,5.0,26.0,6.0,29.0,4,2005
87,Amy Frazier,,,,,,31.0,1,2005
88,Nicole Vaidisova,6.666666666666667,37.666666666666664,0.3333333333333333,26.0,3.3333333333333335,31.0,3,2005
89,Dinara Safina,5.0,32.0,2.0,29.0,0.0,32.0,4,2005
90,Flavia Pennetta,3.5,38.5,5.0,27.5,9.5,34.0,3,2005
91,Anabel Medina Garrigues,,,,,,34.0,1,2005
92,Virginie Razzano,3.0,61.0,6.5,41.5,7.5,35.0,3,2005
93,Evgenia Linetskaya,4.0,45.0,4.0,33.0,8.0,40.0,1,2005
94,Anna Lena Groenefeld,,,,,,40.0,1,2005
95,Klara Koukalova,,,,,,41.0,5,2005
96,Magdalena Maleeva,3.3333333333333335,39.666666666666664,1.3333333333333333,27.333333333333332,3.0,43.0,3,2005
97,Anna Chakvetadze,2.6666666666666665,51.0,4.0,36.666666666666664,4.666666666666667,43.0,4,2005
98,Conchita Martinez,3.5,41.5,3.0,29.5,7.5,47.0,3,2005
99,Samantha Stosur,11.0,51.5,7.0,39.5,5.5,49.0,2,2005
100,Lisa Raymond,,,,,,50.0,1,2005
101,Sesil Karatantcheva,7.0,72.0,4.0,52.0,7.0,52.0,1,2005
102,Mashona Washington,4.666666666666667,50.0,2.3333333333333335,33.333333333333336,6.333333333333333,53.0,6,2005
103,Maria Kirilenko,4.0,33.5,1.5,25.0,2.0,53.0,3,2005
104,Vera Dushevina,,,,,,54.0,4,2005
105,Maria Vento Kabchi,0.0,82.0,4.0,49.0,14.0,55.0,3,2005
106,Katarina Srebotnik,4.0,39.0,0.0,27.0,4.0,57.0,2,2005
107,Akiko Morigami,3.0,55.0,7.0,40.0,10.0,61.0,1,2005
108,Kveta Peschke,0.5,44.0,5.5,31.0,7.0,62.0,3,2005
109,Meghann Shaughnessy,8.0,37.0,6.0,27.0,10.0,63.0,4,2005
110,Tamarine Tanasugarn,2.75,31.75,4.25,23.0,4.5,64.0,4,2005
111,Roberta Vinci,6.0,51.0,2.0,35.0,8.0,64.0,2,2005
112,Shahar Peer,,,,,,67.0,1,2005
113,Laura Granville,1.5,39.25,0.75,27.75,4.25,68.0,5,2005
114,Maria Elena Camerin,,,,,,68.0,1,2005
115,Kristina Brandi,1.0,92.0,3.0,65.0,13.0,70.0,1,2005
116,Denisa Chladkova,,,,,,71.0,2,2005
117,Mariana Diaz Oliva,,,,,,73.0,2,2005
118,Sania Mirza,2.0,43.5,2.0,28.5,7.0,75.0,2,2005
119,Eleni Daniilidou,2.25,51.0,4.0,34.25,7.25,76.0,5,2005
120,Lucie Safarova,,,,,,80.0,4,2005
121,Antonella Serra Zanetti,0.0,76.0,2.0,49.0,4.0,83.0,2,2005
122,Jill Craybas,1.5,52.0,2.5,33.5,10.5,85.0,3,2005
123,Arantxa Parra Santonja,4.5,57.0,1.0,37.0,5.0,86.0,2,2005
124,Yoon Jeong Cho,,,,,,86.0,1,2005
125,Virginia Ruano Pascual,,,,,,87.0,1,2005
126,Alona Bondarenko,2.5,70.5,2.0,44.0,16.0,90.0,2,2005
127,Tatiana Panova,0.0,39.0,5.0,22.0,9.0,92.0,1,2005
128,Marissa Irvin,,,,,,93.0,1,2005
129,Anne Kremer,2.0,37.0,2.0,29.0,8.0,94.0,1,2005
130,Aiko Nakamura,5.0,64.0,8.0,43.0,14.0,94.0,1,2005
131,Michaella Krajicek,,,,,,99.0,2,2005
132,Amelie Mauresmo,4.142857142857143,35.857142857142854,3.4285714285714284,26.142857142857142,5.142857142857143,1.0,7,2006
133,Kim Clijsters,3.0,33.833333333333336,2.6666666666666665,24.5,5.5,2.0,7,2006
134,Justine Henin,2.9,37.6,4.3,25.9,5.3,3.0,10,2006
135,Maria Sharapova,3.25,36.75,4.0,27.375,3.75,4.0,8,2006
136,Svetlana Kuznetsova,8.5,53.25,4.5,37.25,7.5,6.0,4,2006
137,Elena Dementieva,0.5,46.75,8.5,29.25,7.25,8.0,6,2006
138,Patty Schnyder,4.0,65.0,2.0,39.0,11.0,10.0,1,2006
139,Anastasia Myskina,2.0,41.166666666666664,3.0,27.166666666666668,8.166666666666666,11.0,8,2006
140,Venus Williams,6.5,39.0,2.5,34.0,1.5,12.0,2,2006
141,Nicole Vaidisova,3.0,30.0,1.5,24.5,0.5,13.0,3,2006
142,Francesca Schiavone,2.0,35.5,5.0,27.75,5.5,14.0,4,2006
143,Martina Hingis,1.0,29.5,0.5,22.5,1.0,15.0,2,2006
144,Anna Lena Groenefeld,6.5,43.5,4.0,30.5,8.5,16.0,2,2006
145,Dinara Safina,5.5,72.0,5.5,49.5,10.0,17.0,5,2006
146,Daniela Hantuchova,6.0,60.333333333333336,3.3333333333333335,43.333333333333336,7.333333333333333,18.0,3,2006
147,Flavia Pennetta,4.333333333333333,34.333333333333336,3.6666666666666665,28.666666666666668,3.0,19.0,3,2006
148,Ai Sugiyama,2.25,58.0,3.75,38.25,8.25,21.0,5,2006
149,Ana Ivanovic,2.6666666666666665,37.0,2.0,26.0,6.666666666666667,22.0,5,2006
150,Shahar Peer,3.0,32.0,4.0,26.0,5.0,24.0,1,2006
151,Katarina Srebotnik,2.5,34.0,1.5,22.0,2.0,25.0,2,2006
152,Nathalie Dechy,0.5,50.5,2.0,34.5,6.0,25.0,2,2006
153,Elena Likhovtseva,4.166666666666667,43.333333333333336,2.0,30.333333333333332,5.5,26.0,6,2006
154,Anabel Medina Garrigues,1.0,38.0,0.0,28.0,3.0,27.0,2,2006
155,Marion Bartoli,3.0,55.333333333333336,3.6666666666666665,40.666666666666664,7.333333333333333,27.0,3,2006
156,Jelena Jankovic,4.5,56.0,6.0,36.0,6.0,29.0,6,2006
157,Na Li,3.4,46.0,2.4,32.4,6.4,30.0,6,2006
158,Anna Chakvetadze,3.3333333333333335,41.0,3.3333333333333335,30.333333333333332,5.0,31.0,3,2006
159,Gisela Dulko,2.0,42.5,2.5,28.0,4.5,31.0,3,2006
160,Tatiana Golovin,4.0,61.0,3.0,44.0,9.0,33.0,1,2006
161,Sofia Arvidsson,9.0,60.0,6.0,45.0,10.0,34.0,1,2006
162,Jie Zheng,2.0,72.0,2.0,41.0,15.0,37.0,2,2006
163,Mara Santangelo,4.666666666666667,45.0,2.3333333333333335,34.0,4.666666666666667,39.0,3,2006
164,Kveta Peschke,1.0,25.0,2.0,19.0,2.0,41.0,2,2006
165,Sania Mirza,4.0,52.0,4.0,35.0,8.0,41.0,2,2006
166,Shuai Peng,2.6666666666666665,57.333333333333336,2.6666666666666665,35.0,7.666666666666667,44.0,3,2006
167,Jill Craybas,5.0,31.0,2.0,23.0,5.0,45.0,1,2006
168,Klara Koukalova,,,,,,46.0,1,2006
169,Sybille Bammer,1.0,54.0,0.0,38.0,5.0,47.0,2,2006
170,Vera Zvonareva,3.4285714285714284,49.42857142857143,3.4285714285714284,35.285714285714285,6.285714285714286,47.0,7,2006
171,Iveta Benesova,,,,,,48.0,1,2006
172,Samantha Stosur,6.0,21.0,4.0,16.0,1.0,50.0,2,2006
173,Jelena Kostanic Tosic,,,,,,52.0,1,2006
174,Michaella Krajicek,,,,,,55.0,5,2006
175,Alona Bondarenko,,,,,,57.0,1,2006
176,Laura Granville,3.0,47.0,3.0,35.0,4.0,57.0,1,2006
177,Jamea Jackson,1.0,54.0,2.8,34.4,7.2,58.0,6,2006
178,Maria Elena Camerin,,,,,,58.0,1,2006
179,Akiko Morigami,2.0,45.0,3.5,31.5,7.0,60.0,2,2006
180,Elena Vesnina,2.5,53.0,4.0,32.0,9.0,61.0,3,2006
181,Martina Sucha,2.0,31.0,2.0,25.0,1.0,61.0,1,2006
182,Shenay Perry,6.75,43.0,4.0,30.25,7.5,62.0,5,2006
183,Marta Domachowska,,,,,,66.0,1,2006
184,Eleni Daniilidou,0.0,24.0,4.0,18.0,1.0,67.0,4,2006
185,Vera Dushevina,,47.0,,32.0,11.0,68.0,1,2006
186,Tathiana Garbin,5.0,59.0,4.0,35.0,8.0,68.0,1,2006
187,Karolina Sprem,4.5,38.0,3.0,26.5,4.5,69.0,2,2006
188,Meghann Shaughnessy,8.0,46.0,3.0,37.0,2.0,73.0,1,2006
189,Martina Muller,1.0,48.0,2.0,29.0,7.0,74.0,1,2006
190,Ashley Harkleroad,1.0,29.0,2.0,21.0,3.0,76.0,1,2006
191,Melinda Czink,4.0,41.0,6.0,29.0,5.0,77.0,1,2006
192,Zi Yan,3.0,48.0,3.0,34.0,7.0,79.0,1,2006
193,Amy Frazier,5.0,55.0,6.0,41.0,7.0,80.0,2,2006
194,Ekaterina Bychkova,5.0,54.0,1.0,40.0,5.0,81.0,1,2006
195,Lisa Raymond,5.5,36.5,2.0,29.0,5.5,82.0,3,2006
196,Tsvetana Pironkova,2.0,41.5,1.0,30.5,5.0,83.0,3,2006
197,Jarmila Gajdosova,,,,,,86.0,1,2006
198,Vania King,0.0,24.0,1.0,15.0,7.0,88.0,1,2006
199,Virginia Ruano Pascual,,,,,,91.0,1,2006
200,Viktoria Kutuzova,3.0,23.0,2.0,16.0,4.0,96.0,1,2006
201,Tian Tian Sun,1.0,36.0,1.0,27.0,5.0,100.0,1,2006
202,Justine Henin,2.5555555555555554,35.666666666666664,3.111111111111111,26.88888888888889,2.4444444444444446,1.0,9,2007
203,Maria Sharapova,3.5714285714285716,42.857142857142854,3.7142857142857144,30.857142857142858,5.0,2.0,7,2007
204,Jelena Jankovic,3.2222222222222223,46.666666666666664,2.7777777777777777,32.44444444444444,5.222222222222222,3.0,11,2007
205,Amelie Mauresmo,7.666666666666667,26.5,4.0,20.5,2.5,4.0,6,2007
206,Svetlana Kuznetsova,4.5,45.25,1.5,33.25,4.25,5.0,4,2007
207,Ana Ivanovic,6.5,40.5,2.1666666666666665,30.666666666666668,5.5,6.0,6,2007
208,Anna Chakvetadze,4.428571428571429,41.857142857142854,2.4285714285714284,30.142857142857142,6.571428571428571,7.0,7,2007
209,Serena Williams,9.666666666666666,38.666666666666664,2.0,28.666666666666668,4.0,8.0,4,2007
210,Nadia Petrova,5.6,44.0,4.2,32.8,6.6,9.0,5,2007
211,Nicole Vaidisova,6.833333333333333,43.333333333333336,3.6666666666666665,33.333333333333336,4.0,10.0,6,2007
212,Daniela Hantuchova,4.5,40.625,2.625,29.625,3.75,10.0,8,2007
213,Martina Hingis,6.5,54.0,4.0,35.5,6.0,11.0,2,2007
214,Elena Dementieva,3.5,38.0,6.5,23.5,5.5,12.0,3,2007
215,Dinara Safina,8.25,57.75,5.5,40.25,7.0,13.0,4,2007
216,Patty Schnyder,5.333333333333333,65.33333333333333,5.0,44.333333333333336,10.333333333333334,15.0,3,2007
217,Shahar Peer,1.75,47.75,1.5,32.25,4.75,16.0,4,2007
218,Tatiana Golovin,7.0,76.0,7.0,53.0,13.0,17.0,1,2007
219,Na Li,1.0,39.5,3.0,27.0,5.0,18.0,2,2007
220,Marion Bartoli,3.0,38.083333333333336,3.0,26.25,6.333333333333333,19.0,12,2007
221,Sybille Bammer,1.6666666666666667,42.0,3.0,29.666666666666668,5.0,21.0,3,2007
222,Katarina Srebotnik,3.5,37.0,2.0,29.5,1.5,22.0,2,2007
223,Tathiana Garbin,1.0,49.0,4.0,32.0,3.0,23.0,1,2007
224,Alona Bondarenko,0.6,41.0,1.2,28.6,5.4,24.0,6,2007
225,Lucie Safarova,8.0,47.0,3.3333333333333335,36.333333333333336,5.333333333333333,25.0,3,2007
226,Ai Sugiyama,1.0,44.0,3.5,29.0,7.5,27.0,2,2007
227,Samantha Stosur,18.0,53.0,4.0,42.0,8.0,28.0,1,2007
228,Mara Santangelo,3.3333333333333335,44.666666666666664,3.6666666666666665,31.833333333333332,4.5,29.0,6,2007
229,Francesca Schiavone,2.0,44.5,6.0,32.5,10.0,30.0,2,2007
230,Venus Williams,4.142857142857143,45.142857142857146,4.714285714285714,34.0,7.0,31.0,7,2007
231,Michaella Krajicek,8.6,47.4,3.4,36.8,5.6,33.0,5,2007
232,Martina Muller,,,,,,34.0,1,2007
233,Agnieszka Radwanska,2.25,32.5,1.0,19.75,3.25,35.0,4,2007
234,Meilen Tu,1.6666666666666667,52.333333333333336,4.333333333333333,34.666666666666664,7.333333333333333,35.0,3,2007
235,Meghann Shaughnessy,3.0,42.0,0.0,29.0,4.0,36.0,1,2007
236,Severine Beltrame,4.0,43.0,2.0,33.0,3.0,37.0,1,2007
237,Nicole Pratt,3.0,36.0,2.0,24.0,4.0,40.0,1,2007
238,Julia Vakulenko,7.0,38.0,4.5,30.0,3.5,41.0,2,2007
239,Sania Mirza,2.0,27.5,4.5,20.0,3.5,42.0,2,2007
240,Eleni Daniilidou,1.25,59.75,4.75,37.25,8.25,43.0,4,2007
241,Emilie Loit,0.0,41.0,1.0,28.0,3.0,43.0,1,2007
242,Maria Kirilenko,5.0,47.0,1.5,34.5,4.5,44.0,2,2007
243,Nathalie Dechy,1.0,62.0,10.0,39.0,10.0,46.0,2,2007
244,Elena Likhovtseva,4.0,43.0,1.75,31.5,3.5,47.0,4,2007
245,Roberta Vinci,3.0,28.0,2.5,22.0,2.5,49.0,2,2007
246,Yung Jan Chan,5.0,36.0,1.0,23.0,4.0,50.0,1,2007
247,Victoria Azarenka,4.0,34.5,2.0,24.5,3.5,53.0,2,2007
248,Tamira Paszek,1.2,47.6,3.2,29.6,5.4,54.0,5,2007
249,Milagros Sequera,2.6666666666666665,44.333333333333336,6.0,33.0,5.333333333333333,54.0,3,2007
250,Kaia Kanepi,,,,,,58.0,1,2007
251,Aravane Rezai,3.0,43.0,3.5,29.0,3.5,60.0,2,2007
252,Elena Vesnina,3.3333333333333335,39.666666666666664,2.3333333333333335,27.333333333333332,3.0,67.0,3,2007
253,Aiko Nakamura,1.0,31.5,2.5,25.5,3.0,68.0,2,2007
254,Akiko Morigami,0.5,49.0,2.5,28.0,7.0,71.0,2,2007
255,Alicia Molik,8.0,49.0,2.5,39.5,3.5,71.0,2,2007
256,Agnes Szavay,5.0,30.0,6.0,23.0,5.0,72.0,1,2007
257,Flavia Pennetta,4.0,65.0,4.0,45.0,14.0,73.0,2,2007
258,Vania King,5.5,56.5,2.5,44.5,2.5,75.0,2,2007
259,Laura Granville,0.6666666666666666,42.0,1.6666666666666667,30.666666666666668,4.333333333333333,77.0,3,2007
260,Yaroslava Shvedova,,,,,,81.0,1,2007
261,Vera Dushevina,2.0,49.0,2.0,30.0,8.0,83.0,1,2007
262,Angelique Kerber,0.25,40.5,2.25,29.0,4.25,84.0,4,2007
263,Tatiana Poutchek,1.0,45.0,1.0,31.0,7.0,85.0,1,2007
264,Tatjana Maria,,,,,,94.0,1,2007
265,Virginia Ruano Pascual,0.0,57.5,2.0,39.0,5.0,96.0,2,2007
266,Yvonne Meusburger,1.0,67.0,0.0,41.0,9.0,98.0,1,2007
267,Iveta Benesova,,,,,,100.0,1,2007
268,Ana Ivanovic,5.5,59.5,4.0,43.0,7.5,1.0,2,2008
269,Maria Sharapova,4.0,38.0,3.0,29.0,1.0,2.0,1,2008
270,Jelena Jankovic,1.3333333333333333,43.666666666666664,2.3333333333333335,30.666666666666668,4.666666666666667,3.0,3,2008
271,Svetlana Kuznetsova,3.0,37.666666666666664,4.666666666666667,25.333333333333332,4.666666666666667,4.0,3,2008
272,Elena Dementieva,1.8333333333333333,60.166666666666664,4.166666666666667,37.666666666666664,10.333333333333334,5.0,7,2008
273,Serena Williams,8.0,39.666666666666664,1.6666666666666667,31.333333333333332,3.8333333333333335,6.0,6,2008
274,Venus Williams,5.428571428571429,44.142857142857146,4.285714285714286,32.57142857142857,7.0,7.0,7,2008
275,Anna Chakvetadze,4.75,44.5,6.0,31.25,6.5,8.0,4,2008
276,Dinara Safina,3.8,39.8,2.0,32.4,1.0,9.0,6,2008
277,Marion Bartoli,3.0,33.75,3.5,26.25,1.75,10.0,4,2008
278,Agnieszka Radwanska,2.0,60.5,0.5,40.0,7.666666666666667,11.0,8,2008
279,Daniela Hantuchova,2.0,49.0,4.0,30.0,11.0,12.0,1,2008
280,Vera Zvonareva,5.0,51.0,3.0,36.0,5.0,14.0,1,2008
281,Agnes Szavay,3.3333333333333335,50.333333333333336,5.666666666666667,32.666666666666664,9.0,15.0,3,2008
282,Victoria Azarenka,1.5,27.5,0.5,23.5,2.5,16.0,2,2008
283,Nadia Petrova,5.875,43.5,5.125,33.5,4.25,18.0,8,2008
284,Nicole Vaidisova,4.833333333333333,42.5,2.5,32.0,4.5,19.0,6,2008
285,Francesca Schiavone,5.0,70.0,9.0,47.0,9.0,20.0,1,2008
286,Flavia Pennetta,3.0,31.0,2.0,26.0,2.0,23.0,1,2008
287,Katarina Srebotnik,3.0,36.0,2.0,27.0,2.0,24.0,2,2008
288,Lindsay Davenport,12.0,57.0,5.0,43.0,9.0,25.0,1,2008
289,Shahar Peer,1.6666666666666667,71.0,3.6666666666666665,43.0,12.666666666666666,26.0,3,2008
290,Sybille Bammer,3.5,62.0,3.0,31.5,13.0,27.0,2,2008
291,Alona Bondarenko,1.4,66.8,3.6,41.2,9.6,27.0,6,2008
292,Virginie Razzano,,,,,,28.0,1,2008
293,Caroline Wozniacki,2.0,35.25,2.0,26.5,5.0,30.0,4,2008
294,Amelie Mauresmo,2.0,47.333333333333336,5.333333333333333,35.0,5.666666666666667,30.0,3,2008
295,Sania Mirza,1.0,54.0,6.5,33.5,10.5,32.0,2,2008
296,Anabel Medina Garrigues,2.5,49.0,2.0,33.0,7.5,34.0,2,2008
297,Olga Govortsova,2.0,49.0,0.0,34.0,5.0,36.0,1,2008
298,Ai Sugiyama,1.0,44.0,4.0,30.0,3.5,38.0,2,2008
299,Gisela Dulko,0.6666666666666666,48.333333333333336,3.3333333333333335,32.333333333333336,6.0,39.0,4,2008
300,Casey Dellacqua,3.0,46.666666666666664,3.3333333333333335,30.333333333333332,5.333333333333333,41.0,3,2008
301,Alisa Kleybanova,8.4,38.4,4.2,29.6,6.2,42.0,5,2008
302,Na Li,1.0,52.5,4.0,33.0,11.5,45.0,2,2008
303,Elena Vesnina,7.0,73.0,5.0,50.0,9.0,46.0,1,2008
304,Kateryna Bondarenko,3.5714285714285716,49.714285714285715,2.2857142857142856,35.857142857142854,4.714285714285714,47.0,7,2008
305,Michaella Krajicek,7.333333333333333,33.666666666666664,2.6666666666666665,26.333333333333332,1.6666666666666667,51.0,3,2008
306,Petra Cetkovska,2.3333333333333335,53.0,2.3333333333333335,36.333333333333336,7.666666666666667,52.0,3,2008
307,Marina Erakovic,6.142857142857143,34.0,3.0,27.142857142857142,3.5714285714285716,53.0,7,2008
308,Shuai Peng,1.0,65.0,0.0,37.5,12.0,54.0,2,2008
309,Carla Suarez Navarro,0.0,44.0,5.0,32.0,4.0,56.0,1,2008
310,Sara Errani,0.0,60.0,2.0,36.0,13.0,57.0,1,2008
311,Pauline Parmentier,6.0,38.0,0.0,32.0,2.0,59.0,1,2008
312,Aravane Rezai,4.0,65.0,3.0,47.0,5.0,59.0,2,2008
